"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkön kulutus Suomessa"
"2009-12-31 22:00:00","2009-12-31 23:00:00","2010-01-01 00:00:00","2010-01-01 01:00:00","11214.0"
"2009-12-31 23:00:00","2010-01-01 00:00:00","2010-01-01 01:00:00","2010-01-01 02:00:00","10809.0"
"2010-01-01 00:00:00","2010-01-01 01:00:00","2010-01-01 02:00:00","2010-01-01 03:00:00","10467.0"
"2010-01-01 01:00:00","2010-01-01 02:00:00","2010-01-01 03:00:00","2010-01-01 04:00:00","10251.0"
"2010-01-01 02:00:00","2010-01-01 03:00:00","2010-01-01 04:00:00","2010-01-01 05:00:00","10173.0"
"2010-01-01 03:00:00","2010-01-01 04:00:00","2010-01-01 05:00:00","2010-01-01 06:00:00","10195.0"
"2010-01-01 04:00:00","2010-01-01 05:00:00","2010-01-01 06:00:00","2010-01-01 07:00:00","10345.0"
"2010-01-01 05:00:00","2010-01-01 06:00:00","2010-01-01 07:00:00","2010-01-01 08:00:00","10222.0"
"2010-01-01 06:00:00","2010-01-01 07:00:00","2010-01-01 08:00:00","2010-01-01 09:00:00","10374.0"
"2010-01-01 07:00:00","2010-01-01 08:00:00","2010-01-01 09:00:00","2010-01-01 10:00:00","10364.0"
"2010-01-01 08:00:00","2010-01-01 09:00:00","2010-01-01 10:00:00","2010-01-01 11:00:00","10430.0"
"2010-01-01 09:00:00","2010-01-01 10:00:00","2010-01-01 11:00:00","2010-01-01 12:00:00","10606.0"
"2010-01-01 10:00:00","2010-01-01 11:00:00","2010-01-01 12:00:00","2010-01-01 13:00:00","10751.0"
"2010-01-01 11:00:00","2010-01-01 12:00:00","2010-01-01 13:00:00","2010-01-01 14:00:00","10823.0"
"2010-01-01 12:00:00","2010-01-01 13:00:00","2010-01-01 14:00:00","2010-01-01 15:00:00","10923.0"
"2010-01-01 13:00:00","2010-01-01 14:00:00","2010-01-01 15:00:00","2010-01-01 16:00:00","11267.0"
"2010-01-01 14:00:00","2010-01-01 15:00:00","2010-01-01 16:00:00","2010-01-01 17:00:00","11863.0"
"2010-01-01 15:00:00","2010-01-01 16:00:00","2010-01-01 17:00:00","2010-01-01 18:00:00","11984.0"
"2010-01-01 16:00:00","2010-01-01 17:00:00","2010-01-01 18:00:00","2010-01-01 19:00:00","12067.0"
"2010-01-01 17:00:00","2010-01-01 18:00:00","2010-01-01 19:00:00","2010-01-01 20:00:00","12081.0"
"2010-01-01 18:00:00","2010-01-01 19:00:00","2010-01-01 20:00:00","2010-01-01 21:00:00","11906.0"
"2010-01-01 19:00:00","2010-01-01 20:00:00","2010-01-01 21:00:00","2010-01-01 22:00:00","11718.0"
"2010-01-01 20:00:00","2010-01-01 21:00:00","2010-01-01 22:00:00","2010-01-01 23:00:00","12304.0"
"2010-01-01 21:00:00","2010-01-01 22:00:00","2010-01-01 23:00:00","2010-01-02 00:00:00","11933.0"
"2010-01-01 22:00:00","2010-01-01 23:00:00","2010-01-02 00:00:00","2010-01-02 01:00:00","11449.0"
"2010-01-01 23:00:00","2010-01-02 00:00:00","2010-01-02 01:00:00","2010-01-02 02:00:00","11064.0"
"2010-01-02 00:00:00","2010-01-02 01:00:00","2010-01-02 02:00:00","2010-01-02 03:00:00","10871.0"
"2010-01-02 01:00:00","2010-01-02 02:00:00","2010-01-02 03:00:00","2010-01-02 04:00:00","10817.0"
"2010-01-02 02:00:00","2010-01-02 03:00:00","2010-01-02 04:00:00","2010-01-02 05:00:00","10800.0"
"2010-01-02 03:00:00","2010-01-02 04:00:00","2010-01-02 05:00:00","2010-01-02 06:00:00","10882.0"
"2010-01-02 04:00:00","2010-01-02 05:00:00","2010-01-02 06:00:00","2010-01-02 07:00:00","11142.0"
"2010-01-02 05:00:00","2010-01-02 06:00:00","2010-01-02 07:00:00","2010-01-02 08:00:00","11081.0"
"2010-01-02 06:00:00","2010-01-02 07:00:00","2010-01-02 08:00:00","2010-01-02 09:00:00","11418.0"
"2010-01-02 07:00:00","2010-01-02 08:00:00","2010-01-02 09:00:00","2010-01-02 10:00:00","11509.0"
"2010-01-02 08:00:00","2010-01-02 09:00:00","2010-01-02 10:00:00","2010-01-02 11:00:00","11637.0"
"2010-01-02 09:00:00","2010-01-02 10:00:00","2010-01-02 11:00:00","2010-01-02 12:00:00","11667.0"
"2010-01-02 10:00:00","2010-01-02 11:00:00","2010-01-02 12:00:00","2010-01-02 13:00:00","11620.0"
"2010-01-02 11:00:00","2010-01-02 12:00:00","2010-01-02 13:00:00","2010-01-02 14:00:00","11608.0"
"2010-01-02 12:00:00","2010-01-02 13:00:00","2010-01-02 14:00:00","2010-01-02 15:00:00","11593.0"
"2010-01-02 13:00:00","2010-01-02 14:00:00","2010-01-02 15:00:00","2010-01-02 16:00:00","11981.0"
"2010-01-02 14:00:00","2010-01-02 15:00:00","2010-01-02 16:00:00","2010-01-02 17:00:00","12592.0"
"2010-01-02 15:00:00","2010-01-02 16:00:00","2010-01-02 17:00:00","2010-01-02 18:00:00","12821.0"
"2010-01-02 16:00:00","2010-01-02 17:00:00","2010-01-02 18:00:00","2010-01-02 19:00:00","12960.0"
"2010-01-02 17:00:00","2010-01-02 18:00:00","2010-01-02 19:00:00","2010-01-02 20:00:00","12940.0"
"2010-01-02 18:00:00","2010-01-02 19:00:00","2010-01-02 20:00:00","2010-01-02 21:00:00","12686.0"
"2010-01-02 19:00:00","2010-01-02 20:00:00","2010-01-02 21:00:00","2010-01-02 22:00:00","12360.0"
"2010-01-02 20:00:00","2010-01-02 21:00:00","2010-01-02 22:00:00","2010-01-02 23:00:00","12888.0"
"2010-01-02 21:00:00","2010-01-02 22:00:00","2010-01-02 23:00:00","2010-01-03 00:00:00","12593.0"
"2010-01-02 22:00:00","2010-01-02 23:00:00","2010-01-03 00:00:00","2010-01-03 01:00:00","12121.0"
"2010-01-02 23:00:00","2010-01-03 00:00:00","2010-01-03 01:00:00","2010-01-03 02:00:00","11662.0"
"2010-01-03 00:00:00","2010-01-03 01:00:00","2010-01-03 02:00:00","2010-01-03 03:00:00","11396.0"
"2010-01-03 01:00:00","2010-01-03 02:00:00","2010-01-03 03:00:00","2010-01-03 04:00:00","11254.0"
